apelido,posicao,clube,jogos,status,preco,variacao_pr,pontos,media_pts,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
Neto Berola,Atacante,santos,1,Nulo,5.08,0.00,0.00,6.70,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Rodrigo Dourado,Meia,internacional,3,Nulo,5.06,-0.64,1.50,4.07,1,7,1,0,0,2,0,1,0,7,4,0,1,0,0,0,0,0
Thiago Galhardo,Meia,coritiba,6,Suspenso,5.06,1.03,2.80,0.75,8,14,0,0,2,2,1,3,0,4,12,0,3,0,0,0,0,0
Marlone,Meia,sport,1,Nulo,5.03,0.00,0.00,0.50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denis,Goleiro,são paulo,0,Contundido,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henrique Mattos,Zagueiro,sport,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonfim ,Zagueiro,coritiba,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaná,Goleiro,coritiba,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dráusio,Zagueiro,joinville,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandro Silva,Meia,vasco,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lúcio Flávio,Meia,coritiba,0,Nulo,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Silva,Lateral,sport,0,Contundido,5.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
