apelido,posicao,clube,jogos,status,preco,variacao_pr,pontos,media_pts,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS
Gelson,Meia,goiás,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balbino,Meia,grêmio,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur,Meia,grêmio,0,Contundido,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerson Conceição,Lateral,atlético-mg,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erick Samuel,Atacante,grêmio,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus ,Atacante,chapecoense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Ferrareis,Atacante,internacional,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juninho,Meia,joinville,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystian,Lateral,santos,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonardo,Lateral,fluminense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juninho,Meia,palmeiras,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arancibia,Meia,palmeiras,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baiano,Zagueiro,goiás,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Cassini,Meia,corinthians,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Gumiero,Goleiro,atlético-pr,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateus Silva,Atacante,joinville,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liniker,Meia,goiás,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Artur,Zagueiro,fluminense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nilson,Atacante,santos,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Bolt,Meia,vasco,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian,Meia,ponte preta,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horácio,Meia,sport,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Léo Cittadini,Meia,santos,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walisson,Zagueiro,coritiba,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan,Zagueiro,ponte preta,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernardo,Zagueiro,ponte preta,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,Zagueiro,cruzeiro,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan,Goleiro,ponte preta,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ítalo,Atacante,sport,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serginho,Meia,santos,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge,Lateral,flamengo,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonatan Ponciano,Atacante,figueirense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renan Ribeiro,Goleiro,são paulo,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinho,Lateral,sport,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Ramos,Lateral,coritiba,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Léo Rodrigues,Lateral,figueirense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Gasparotto,Goleiro,santos,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Atacante,figueirense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Vaz,Zagueiro,vasco,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citta Júnior,Meia,ponte preta,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulo Victor ,Atacante,coritiba,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guilherme,Goleiro,corinthians,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Santos,Lateral,figueirense,0,Nulo,2.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henrique,Zagueiro,figueirense,1,Nulo,1.98,0.00,0.00,1.50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Cordeiro,Lateral,figueirense,1,Nulo,1.90,0.00,0.00,1.40,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Lucas Ramon ,Lateral,grêmio,1,Nulo,1.84,-0.16,0.50,0.50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rômulo,Atacante,avaí,3,Nulo,1.81,0.00,0.00,1.13,1,2,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0
Ítalo,Meia,joinville,1,Nulo,1.79,0.00,0.00,0.50,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Lucão,Zagueiro,são paulo,1,Nulo,1.74,0.00,0.00,0.20,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Carlos ,Atacante,goiás,3,Nulo,1.72,-0.03,-0.50,0.47,4,0,0,0,0,1,0,1,0,1,5,0,0,0,0,0,0,0
Júnior,Lateral,grêmio,2,Nulo,1.69,0.00,0.00,-0.35,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dener,Meia,figueirense,3,Nulo,1.68,0.75,2.60,-0.03,1,12,0,0,0,1,0,0,0,4,9,0,0,0,0,0,0,0
Lucas Marques,Meia,internacional,1,Nulo,1.66,0.00,0.00,0.10,1,6,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
Leandro Silva,Zagueiro,coritiba,1,Provável,1.65,-0.35,0.00,0.00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tiago ,Zagueiro,atlético-mg,1,Nulo,1.58,0.00,0.00,0.00,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Luan Polli ,Goleiro,figueirense,1,Nulo,1.58,0.00,0.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
Victor Ramos,Zagueiro,palmeiras,4,Provável,1.46,0.43,0.30,-1.37,4,6,0,0,0,2,0,1,0,2,4,1,1,1,1,0,0,0
Agenor,Goleiro,joinville,1,Provável,1.43,-1.57,-4.00,-4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
João Paulo,Atacante,são paulo,2,Dúvida,1.34,0.00,0.00,-0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Alves,Zagueiro,figueirense,6,Nulo,1.24,0.42,4.30,-0.23,2,7,0,0,0,0,0,0,0,6,7,0,1,1,0,0,0,0
Hudson,Meia,são paulo,6,Provável,1.19,-1.49,-4.90,-0.43,1,12,0,0,1,0,0,0,0,5,10,0,2,0,0,0,0,0
William Kozlowski,Meia,goiás,4,Nulo,1.17,0.36,1.70,-0.53,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
Robert,Atacante,goiás,2,Nulo,1.15,0.00,0.00,0.60,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley,Atacante,goiás,5,Provável,1.12,0.30,3.60,-0.28,10,4,0,0,2,2,0,0,0,2,12,0,3,0,0,0,0,0
Ygor,Meia,goiás,1,Contundido,1.11,0.00,0.00,-4.60,2,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0
Matheus Ribeiro,Lateral,atlético-pr,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leo,Goleiro,são paulo,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raul,Lateral,grêmio,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jatobá,Zagueiro,figueirense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Lobão,Zagueiro,ponte preta,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kauê,Meia,ponte preta,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silas,Meia,internacional,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donato,Zagueiro,atlético-mg,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Martins,Goleiro,coritiba,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Paulo,Goleiro,santos,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jhonatan,Goleiro,joinville,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
William Menezes,Goleiro,coritiba,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Carlos,Goleiro,ponte preta,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Léo,Goleiro,grêmio,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago,Goleiro,flamengo,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacsson,Goleiro,internacional,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallace,Goleiro,goiás,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Alves,Goleiro,goiás,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitor,Goleiro,grêmio,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Silva,Zagueiro,grêmio,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael Thyere,Zagueiro,grêmio,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheuzinho,Meia,figueirense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Félix,Goleiro,vasco,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Júnior,Goleiro,figueirense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Gomes,Atacante,internacional,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitor Xavier,Atacante,ponte preta,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeferson,Lateral,ponte preta,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uilson,Goleiro,atlético-mg,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuel,Goleiro,coritiba,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel,Zagueiro,atlético-mg,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan,Goleiro,cruzeiro,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choco,Atacante,atlético-pr,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elisson,Goleiro,cruzeiro,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus,Lateral,são paulo,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reynaldo ,Goleiro,ponte preta,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Paulo,Goleiro,chapecoense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junio ,Lateral,ponte preta,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro,Atacante,internacional,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Perri,Goleiro,são paulo,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipe Maia,Zagueiro,avaí,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iury,Atacante,avaí,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Dean,Atacante,sport,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruninho,Atacante,fluminense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo Dyego,Atacante,fluminense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitor,Goleiro,joinville,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Vidotto,Goleiro,corinthians,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson,Atacante,sport,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Júnior De Barros,Atacante,atlético-pr,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Olivera,Meia,fluminense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Felipe,Lateral,atlético-pr,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronan,Lateral,fluminense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Marmentini,Meia,atlético-pr,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toshi,Meia,avaí,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vítor,Goleiro,avaí,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Índio,Meia,vasco,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquinhos,Atacante,vasco,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romarinho,Atacante,vasco,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silvio,Goleiro,chapecoense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thallyson,Lateral,flamengo,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jajá,Meia,flamengo,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Baggio,Atacante,flamengo,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Goleiro,flamengo,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willian ,Goleiro,chapecoense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesley,Lateral,chapecoense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jajá,Meia,chapecoense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro,Lateral,chapecoense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Felipe ,Goleiro,fluminense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Pedro,Meia,atlético-pr,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Cajuru,Goleiro,atlético-pr,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus,Goleiro,joinville,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Ivaldo,Zagueiro,atlético-pr,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcoon,Lateral,ponte preta,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulo Henrique,Goleiro,goiás,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wellington,Zagueiro,palmeiras,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinícius Silvestre,Goleiro,palmeiras,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Túlio,Meia,goiás,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jailson,Goleiro,palmeiras,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocão,Lateral,goiás,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Galdezani,Meia,sport,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin ,Lateral,avaí,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulinho,Meia,atlético-mg,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Igor,Zagueiro,joinville,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesiel,Zagueiro,atlético-mg,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
André Baumer,Zagueiro,joinville,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breno,Lateral,atlético-pr,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulo Ricardo,Zagueiro,santos,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Macanhan,Goleiro,atlético-pr,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Grassi,Goleiro,grêmio,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matheus Pereira,Meia,corinthians,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelvenny,Atacante,sport,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Sam,Zagueiro,corinthians,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adryelson,Zagueiro,sport,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ygor Nogueira,Zagueiro,fluminense,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julen,Meia,palmeiras,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabriel Leite,Meia,palmeiras,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caique,Goleiro,corinthians,0,Nulo,1.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naldo,Meia,joinville,5,Provável,0.82,0.01,0.80,-1.16,1,8,0,0,0,0,0,0,0,3,8,0,0,1,0,0,0,0
Jarlan,Atacante,goiás,1,Nulo,0.82,0.00,0.00,-3.30,2,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0
Charles ,Goleiro,vasco,3,Provável,0.82,0.00,-6.00,-1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
Henrique,Lateral,coritiba,3,Provável,0.82,0.00,-2.30,-1.77,1,15,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0
Fabrício Baiano,Meia,coritiba,3,Provável,0.82,0.00,-2.40,-1.90,0,3,0,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0
Bruno Edgar,Meia,cruzeiro,2,Provável,0.82,0.01,-0.30,-0.40,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Thiago Maia,Meia,santos,2,Nulo,0.82,0.00,0.00,-0.30,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jordi,Goleiro,vasco,1,Nulo,0.81,0.00,0.00,-4.50,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Pedro Botelho,Lateral,atlético-mg,1,Nulo,0.79,0.00,0.00,-2.10,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Silva,Meia,internacional,1,Nulo,0.79,0.00,0.00,-1.20,1,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Gustavo Henrique,Zagueiro,santos,1,Provável,0.79,0.00,0.00,-6.60,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
Lucas Mugni,Meia,flamengo,1,Nulo,0.79,0.00,0.00,-2.30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Danilo Pires,Meia,atlético-mg,1,Nulo,0.79,0.00,0.00,-0.80,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Eltinho,Lateral,avaí,2,Nulo,0.79,0.00,0.00,-2.10,0,4,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0
